Date,Team,H/A,Opponent,win_loss_result,Runs,Runs Allowed,Game Time,Day/Night,Attendance,Game Number,Year
2015-04-06,ARI,H,SFG,L,4,5,3:18,N,"49,043",1,2015
2015-04-07,ARI,H,SFG,W,7,6,3:10,N,"22,626",2,2015
2015-04-08,ARI,H,SFG,L,2,5,3:08,N,"21,642",3,2015
2015-04-10,ARI,H,LAD,W-wo,4,3,3:01,N,"27,404",4,2015
2015-04-11,ARI,H,LAD,W,6,0,2:36,N,"37,636",5,2015
2015-04-12,ARI,H,LAD,L,4,7,3:27,D,"29,678",6,2015
2015-04-13,ARI,A,SDP,W,8,4,3:02,N,"19,538",7,2015
2015-04-14,ARI,A,SDP,L,1,5,2:31,N,"20,102",8,2015
2015-04-15,ARI,A,SDP,L,2,3,2:41,N,"23,104",9,2015
2015-04-16,ARI,A,SFG,W,7,6,4:20,N,"41,545",10,2015
2015-04-17,ARI,A,SFG,W,9,0,3:00,N,"41,550",11,2015
2015-04-18,ARI,A,SFG,L,1,4,2:38,N,"41,756",12,2015
2015-04-19,ARI,A,SFG,W,5,1,2:45,D,"41,528",13,2015
2015-04-21,ARI,H,TEX,L,1,7,3:04,N,"18,345",14,2015
2015-04-22,ARI,H,TEX,W,8,5,2:59,N,"17,886",15,2015
2015-04-24,ARI,H,PIT,L,1,4,2:41,N,"24,427",16,2015
2015-04-25,ARI,H,PIT,L,1,2,2:52,N,"38,859",17,2015
2015-04-26,ARI,H,PIT,L,0,8,3:18,D,"32,353",18,2015
2015-04-27,ARI,H,COL,L,4,5,3:29,N,"17,444",19,2015
2015-04-28,ARI,H,COL,W,12,5,3:10,N,"18,792",20,2015
2015-04-29,ARI,H,COL,W,9,1,2:34,N,"19,633",21,2015
2015-05-01,ARI,A,LAD,L,0,8,2:47,N,"50,164",22,2015
2015-05-02,ARI,A,LAD,L,4,6,3:14,N,"43,617",23,2015
2015-05-03,ARI,A,LAD,L-wo,0,1,4:02,D,"48,136",24,2015
2015-05-06,ARI,A,COL,W,13,7,3:29,D,,25,2015
2015-05-06,ARI,A,COL,W,5,1,2:31,N,"22,621",26,2015
2015-05-07,ARI,H,SDP,W,11,0,2:52,N,"16,929",27,2015
2015-05-08,ARI,H,SDP,L,5,6,3:26,N,"28,677",28,2015
2015-05-09,ARI,H,SDP,L,4,6,4:17,N,"27,340",29,2015
