,Season,Team Name,Wins,Losses,Win%,GB,Team
0,2020,Tampa Bay Rays,40,20,.667,--,TBR
1,2020,New York Yankees,33,27,.550,7.0,NYY
2,2020,Toronto Blue Jays,32,28,.533,8.0,TOR
3,2020,Baltimore Orioles,25,35,.417,15.0,BAL
4,2020,Boston Red Sox,24,36,.400,16.0,BOS
5,2020,Minnesota Twins,36,24,.600,--,MIN
6,2020,Cleveland Indians,35,25,.583,1.0,
7,2020,Chicago White Sox,35,25,.583,1.0,CHW
8,2020,Kansas City Royals,26,34,.433,10.0,KCR
9,2020,Detroit Tigers,23,35,.397,12.0,DET
10,2020,Oakland Athletics,36,24,.600,--,
11,2020,Houston Astros,29,31,.483,7.0,HOU
12,2020,Seattle Mariners,27,33,.450,9.0,SEA
13,2020,Los Angeles Angels,26,34,.433,10.0,LAA
14,2020,Texas Rangers,22,38,.367,14.0,TEX
15,2020,Atlanta Braves,35,25,.583,--,ATL
16,2020,Miami Marlins,31,29,.517,4.0,MIA
17,2020,Philadelphia Phillies,28,32,.467,7.0,PHI
18,2020,New York Mets,26,34,.433,9.0,NYM
19,2020,Washington Nationals,26,34,.433,9.0,WSN
20,2020,Chicago Cubs,34,26,.567,--,CHC
21,2020,St. Louis Cardinals,30,28,.517,3.0,STL
22,2020,Cincinnati Reds,31,29,.517,3.0,CIN
23,2020,Milwaukee Brewers,29,31,.483,5.0,MIL
24,2020,Pittsburgh Pirates,19,41,.317,15.0,PIT
25,2020,Los Angeles Dodgers,43,17,.717,--,LAD
26,2020,San Diego Padres,37,23,.617,6.0,SDP
27,2020,San Francisco Giants,29,31,.483,14.0,SFG
28,2020,Colorado Rockies,26,34,.433,17.0,COL
29,2020,Arizona Diamondbacks,25,35,.417,18.0,ARI
0,2021,Tampa Bay Rays,100,62,.617,--,TBR
1,2021,Boston Red Sox,92,70,.568,8.0,BOS
2,2021,New York Yankees,92,70,.568,8.0,NYY
3,2021,Toronto Blue Jays,91,71,.562,9.0,TOR
4,2021,Baltimore Orioles,52,110,.321,48.0,BAL
5,2021,Chicago White Sox,93,69,.574,--,CHW
6,2021,Cleveland Indians,80,82,.494,13.0,
7,2021,Detroit Tigers,77,85,.475,16.0,DET
8,2021,Kansas City Royals,74,88,.457,19.0,KCR
9,2021,Minnesota Twins,73,89,.451,20.0,MIN
10,2021,Houston Astros,95,67,.586,--,HOU
11,2021,Seattle Mariners,90,72,.556,5.0,SEA
12,2021,Oakland Athletics,86,76,.531,9.0,
13,2021,Los Angeles Angels,77,85,.475,18.0,LAA
14,2021,Texas Rangers,60,102,.370,35.0,TEX
15,2021,Atlanta Braves,88,73,.547,--,ATL
16,2021,Philadelphia Phillies,82,80,.506,6.5,PHI
17,2021,New York Mets,77,85,.475,11.5,NYM
18,2021,Miami Marlins,67,95,.414,21.5,MIA
19,2021,Washington Nationals,65,97,.401,23.5,WSN
20,2021,Milwaukee Brewers,95,67,.586,--,MIL
21,2021,St. Louis Cardinals,90,72,.556,5.0,STL
22,2021,Cincinnati Reds,83,79,.512,12.0,CIN
23,2021,Chicago Cubs,71,91,.438,24.0,CHC
24,2021,Pittsburgh Pirates,61,101,.377,34.0,PIT
25,2021,San Francisco Giants,107,55,.660,--,SFG
26,2021,Los Angeles Dodgers,106,56,.654,1.0,LAD
27,2021,San Diego Padres,79,83,.488,28.0,SDP
28,2021,Colorado Rockies,74,87,.460,32.5,COL
29,2021,Arizona Diamondbacks,52,110,.321,55.0,ARI
0,2022,New York Yankees,99,63,.611,--,NYY
1,2022,Toronto Blue Jays,92,70,.568,7.0,TOR
2,2022,Tampa Bay Rays,86,76,.531,13.0,TBR
3,2022,Baltimore Orioles,83,79,.512,16.0,BAL
4,2022,Boston Red Sox,78,84,.481,21.0,BOS
5,2022,Cleveland Guardians,92,70,.568,--,CLE
6,2022,Chicago White Sox,81,81,.500,11.0,CHW
